Ann Arbor Station, Ann Arbor, Michigan
Dowagiac Station, Dowagiac, Michigan
Royal Oak Transit Station, Royal Oak, Michigan
Michigan City Station, Michigan City, Indiana
Battle Creek Station, Battle Creek, Michigan
Jackson Station, Jackson, Michigan
Hammond-Whiting Amtrak Station, Hammond, Indiana
Detroit Station, Detroit, Michigan
Kalamazoo Transportation, Kalamazoo, Michigan
New Buffalo Amtrak Station, New Buffalo, Michigan
Niles Station, Niles, Michigan
Chicago Union Station, Chicago, Illinois
Albion Station, Albion, Michigan
Birmingham Station, Birmingham, Michigan
Dearborn Station, Dearborn, Michigan
