Chicago Union Station, Chicago, Illinois
Hammond-Whiting Amtrak Station, Hammond, Indiana
Michigan City Station, Michigan City, Indiana
New Buffalo Amtrak Station, New Buffalo, Michigan
Niles Station, Niles, Michigan
Dowagiac Station, Dowagiac, Michigan
Kalamazoo Transportation, Kalamazoo, Michigan
Battle Creek Station, Battle Creek, Michigan
Albion Station, Albion, Michigan
Jackson Station, Jackson, Michigan
Ann Arbor Station, Ann Arbor, Michigan
Dearborn Station, Dearborn, Michigan
Detroit Station, Detroit, Michigan
Royal Oak Transit Station, Royal Oak, Michigan
Birmingham Station, Birmingham, Michigan
